友情,親しくて支えになる友人をもつこと
独立,他人に頼らず自由であること
興奮,スリルと刺激に満ちた人生を送ること
エコロジー,環境と調和して生きること
勤勉,自分の課題について懸命かつ良く働くこと
コミットメント,息の長い有意義な誓いを立てること
変化,多彩な変化に富んだ人生を送ること
権威,他人の上に立ち、責任をもつ
柔軟性,新しい環境に容易に適応すること
受け入れられること,ありのままの自分を受け入れてもらうこと
世話,他人の世話をすること
魅力,外見的に人をひきつけること
正直さ,嘘をつかず正直であること
礼儀,他人に対して思いやり深く丁寧であること
家族,幸せな愛し合う家族を持つこと
神仏の意思,神・仏の意思を求め、それに従うこと
正確さ,自分の意見や信念が正確であること
チャレンジ,困難に立ち向かうこと
同情,他人の悩みを感じ、いたわること
創造性,新しい独創的なアイデアをもつこと
フィトネス,丈夫で均整のとれた身体をもつこと
面白さ,面白楽しく遊ぶこと
成長,変化と成長を続けること
希望,前向きで楽観的なものの見方を保つこと
達成,重要なことを成し遂げること
自律,独立して自己決定すること
貢献,長く残るような貢献を世の中にすること
頼りになること,信用と信頼がおけること
貞節,配偶者・パートナーに対して誠実に真心をつくすこと
気前よさ,他人に自分の持つものを与えること
